away_mascot,home_mascot,Weather,Week,Wind,Year
Cardinals,Jaguars,79f Overcast,11,4m SSE,2013
Chargers,Dolphins,80f A Few Clouds,11,8m ESE,2013
Vikings,Seahawks,47f Overcast,11,5m SSW,2013
49ers,Saints,DOME,11,7m S,2013
Packers,Giants,61f  Fog/Mist,11,0m N,2013
Chiefs,Broncos,33/51f Breezy,11,,2013
Saints,Falcons,DOME,12,4m E,2013
Steelers,Browns,33f  Snow and Breezy,12,22m WNW,2013
Buccaneers,Lions,DOME,12,11m WNW,2013
Vikings,Packers,20f Fair,12,10m SW,2013
Chargers,Chiefs,28f Fair,12,4m N,2013
Bears,Rams,DOME,12,4m N,2013
Panthers,Dolphins,80f  Light Rain,12,17m NNE,2013
Jets,Ravens,34f Breezy,12,0m N,2013
Jaguars,Texans,50f Overcast,12,9m N,2013
Colts,Cardinals,DOME,12,0m N,2013
Titans,Raiders,59f A Few Clouds,12,5m W,2013
Cowboys,Giants,26f Fair,12,7m WNW,2013
Broncos,Patriots,23f Fair,12,16m WNW,2013
Packers,Lions,DOME,13,6m S,2013
Raiders,Cowboys,52f Clear,13,0m N,2013
Steelers,Ravens,37f Mostly Clear,13,0m N,2013
Buccaneers,Panthers,57f Partly Cloudy,13,5m SW,2013
Jaguars,Browns,44f Overcast,13,8m SW,2013
Titans,Colts,DOME,13,9m WSW,2013
Broncos,Chiefs,53f Fair with Haze,13,0m N,2013
Bears,Vikings,DOME,13,0m N,2013
Dolphins,Jets,49f Overcast,13,5m WNW,2013
Cardinals,Eagles,47f Mostly Cloudy,13,5m SW,2013
Falcons,Bills,DOME,13,,2013
Rams,49ers,66f Areas Fog,13,0m N,2013
Patriots,Texans,67f Mostly Cloudy,13,6m SSE,2013
Bengals,Chargers,76f Mostly Clear,13,3m W,2013
Giants,Redskins,37f Overcast,13,3m S,2013
Texans,Jaguars,70f Fair,14,4m SSE,2013
Colts,Bengals,28f Overcast,14,7m E,2013
Bills,Buccaneers,83f Partly Cloudy,14,11m SE,2013
Chiefs,Redskins,28f  Light Freezing Rain,14,5m NE,2013
Vikings,Ravens,30f Wintry Mix,14,0m N,2013
Browns,Patriots,31f Fair,14,3m NNW,2013
Raiders,Jets,34f Overcast,14,5m N,2013
Lions,Eagles,27f  Heavy Snow Freezing Fog,14,7m NE,2013
Dolphins,Steelers,26f  Light Snow Fog/Mist,14,4m ENE,2013
Falcons,Packers,10f  Light Snow,14,9m NE,2013
Titans,Broncos,19f A Few Clouds with Haze,14,7m E,2013
Giants,Chargers,53f Partly Cloudy,14,7m WSW,2013
Seahawks,49ers,45f Clear,14,0m N,2013
Rams,Cardinals,DOME,14,10m SSW,2013
Panthers,Saints,DOME,14,4m N,2013
Chargers,Broncos,39f A Few Clouds,15,6m NNW,2013
Redskins,Falcons,DOME,15,12m NW,2013
Bears,Browns,22f  Light Snow,15,11m W,2013
Cardinals,Titans,34f Overcast,15,5m W,2013
Texans,Colts,DOME,15,15m WSW,2013
Saints,Rams,DOME,15,5m SW,2013
Patriots,Dolphins,85f Partly Cloudy,15,12m SW,2013
Eagles,Vikings,DOME,15,6m NW,2013
Seahawks,Giants,40f A Few Clouds,15,11m WNW,2013
Bills,Jaguars,66f Overcast,15,8m NW,2013
49ers,Buccaneers,69f Overcast,15,7m NNW,2013
Jets,Panthers,44f A Few Clouds,15,5m NW,2013
Chiefs,Raiders,55f A Few Clouds,15,4m SW,2013
Packers,Cowboys,59f Clear,15,0m N,2013
Bengals,Steelers,27f Overcast and Breezy,15,18m W,2013
Dolphins,Bills,36f  Light Rain Fog/Mist,16,5m SSW,2013
Vikings,Bengals,53f Partly Cloudy,16,13m SSW,2013
Colts,Chiefs,25f Overcast with Haze,16,8m NW,2013
Buccaneers,Rams,DOME,16,12m W,2013
Browns,Jets,70f Overcast,16,11m S,2013
Cowboys,Redskins,62f A Few Clouds,16,9m S,2013
Saints,Panthers,70f  Light Rain Fog/Mist,16,12m S,2013
Titans,Jaguars,82f Mostly Cloudy,16,12m SW,2013
Broncos,Texans,59f Overcast,16,10m NNW,2013
Cardinals,Seahawks,50f Fog,16,0m N,2013
Giants,Lions,DOME,16,8m WSW,2013
Steelers,Packers,22f  Light Snow Fog/Mist,16,5m NNE,2013
Raiders,Chargers,69f A few Clouds,16,2m W,2013
Patriots,Ravens,63f Showers,16,0m N,2013
Bears,Eagles,60f Mostly Cloudy,16,5m WSW,2013
Panthers,Falcons,DOME,17,9m WNW,2013
Ravens,Bengals,59f Overcast,17,9m SW,2013
Texans,Titans,53f A Few Clouds,17,3m N,2013
Jaguars,Colts,DOME,17,19m WNW,2013
Browns,Steelers,41f  Light Rain Fog/Mist,17,7m NNW,2013
Jets,Dolphins,79f Mostly Cloudy,17,10m S,2013
Lions,Vikings,DOME,17,11m NW,2013
Redskins,Giants,42f  Heavy Rain Fog/Mist,17,5m NE,2013
Packers,Bears,24f Overcast,17,10m NW,2013
Bills,Patriots,41f  Rain Fog/Mist,17,8m ENE,2013
Buccaneers,Saints,DOME,17,3m N,2013
49ers,Cardinals,DOME,17,5m N,2013
Chiefs,Chargers,71f Sunny,17,2m WSW,2013
Rams,Seahawks,44f Overcast,17,0m N,2013
Broncos,Raiders,71f A Few Clouds,17,10m NE,2013
Packers,Seahawks,70f Fair,1,5m NW,2014
Saints,Falcons,DOME,1,6m W,2014
Bills,Bears,77f Partly Cloudy,1,7m ESE,2014
Titans,Chiefs,77f Fair,1,5m E,2014
Vikings,Rams,DOME,1,6m ESE,2014
Patriots,Dolphins,89f Fair,1,13m SE,2014
Raiders,Jets,80f Partly Cloudy,1,3m N,2014
Jaguars,Eagles,80f Partly Cloudy,1,6m N,2014
Browns,Steelers,72f A Few Clouds,1,6m N,2014
Bengals,Ravens,78f Mostly Cloudy,1,0m N,2014
Redskins,Texans,82f  Thunderstorm,1,12m SSE,2014
Panthers,Buccaneers,79f Overcast,1,7m SE,2014
49ers,Cowboys,84f Partly Cloudy,1,0m N,2014
Colts,Broncos,70f Partly Cloudy,1,6m SSW,2014
Giants,Lions,DOME,1,3m E,2014
Steelers,Ravens,80f Mostly Cloudy,2,0m N,2014
Dolphins,Bills,61f Mostly Cloudy,2,4m W,2014
Falcons,Bengals,68f A Few Clouds,2,4m N,2014
Saints,Browns,62f Mostly Cloudy,2,5m NW,2014
Cowboys,Titans,77f Mostly Cloudy,2,6m NNE,2014
Patriots,Vikings,65f Mostly Cloudy,2,11m W,2014
Cardinals,Giants,71f Fair,2,5m N,2014
Jaguars,Redskins,67f Fair,2,4m W,2014
Lions,Panthers,68f Overcast,2,7m N,2014
Seahawks,Chargers,85f Sunny,2,6m SW,2014
Rams,Buccaneers,78f Mostly Cloudy,2,0m N,2014
Chiefs,Broncos,82f   Showers in Vicinity,2,14m WNW,2014
Jets,Packers,63f Fair,2,11m SSW,2014
Texans,Raiders,73f A Few Clouds,2,10m WNW,2014
Bears,49ers,73f A Few Clouds,2,9m WNW,2014
Buccaneers,Falcons,DOME,3,3m ESE,2014
Chargers,Bills,72f Partly Cloudy,3,16m SW,2014
Titans,Bengals,79f Fair,3,14m W,2014
Ravens,Browns,69f Partly Cloudy and Breezy,3,19m W,2014
Packers,Lions,DOME,3,6m WNW,2014
Cowboys,Rams,DOME,3,15m WNW,2014
Raiders,Patriots,78f A Few Clouds,3,7m SSE,2014
Vikings,Saints,DOME,3,11m NNE,2014
Texans,Giants,76f  Fog/Mist,3,0m N,2014
Redskins,Eagles,76f Mostly Cloudy,3,4m ESE,2014
Colts,Jaguars,85f Fair,3,5m E,2014
49ers,Cardinals,DOME,3,3m NNW,2014
Chiefs,Dolphins,84f Fair,3,8m SSE,2014
Broncos,Seahawks,83f Fair,3,6m N,2014
Steelers,Panthers,74f Overcast,3,3m WSW,2014
Giants,Redskins,63f Overcast,4,7m NNE,2014
Packers,Bears,78f Mostly Cloudy,4,6m E,2014
Titans,Colts,DOME,4,0m N,2014
Dolphins,Raiders,68f Partly Cloudy,4,,2014
Lions,Jets,85f Fair,4,6m S,2014
Buccaneers,Steelers,73f Fair,4,6m SSW,2014
Panthers,Ravens,79f Partly Cloudy,4,0m N,2014
Bills,Texans,86f Mostly Cloudy,4,4m ESE,2014
Jaguars,Chargers,72f NA,4,7m W,2014
Falcons,Vikings,80f Partly Cloudy,4,8m SSW,2014
Eagles,49ers,75f Mostly Cloudy,4,7m WNW,2014
Saints,Cowboys,79f Fair,4,3m ENE,2014
Vikings,Packers,63f  Fog/Mist,5,7m SSE,2014
Texans,Cowboys,81f Clear,5,0m N,2014
Bills,Lions,DOME,5,11m SW,2014
Browns,Titans,71f Mostly Cloudy,5,13m S,2014
Ravens,Colts,DOME,5,19m SSW,2014
Buccaneers,Saints,DOME,5,5m ESE,2014
Falcons,Giants,61f Fair,5,6m WNW,2014
Rams,Eagles,60f Partly Cloudy,5,6m W,2014
Bears,Panthers,63f A Few Clouds,5,7m S,2014
Steelers,Jaguars,73f Fair,5,4m NNE,2014
Cardinals,Broncos,72f Partly Cloudy,5,8m ENE,2014
Jets,Chargers,83f NA,5,6m WSW,2014
Chiefs,49ers,88f A Few Clouds,5,6m WNW,2014
Bengals,Patriots,35f  Fog,5,0m N,2014
Colts,Texans,77f Partly Cloudy,6,3m SE,2014
Patriots,Bills,59f A Few Clouds,6,3m N,2014
Panthers,Bengals,62f Overcast,6,6m S,2014
Steelers,Browns,64f Fair,6,7m E,2014
Jaguars,Titans,74f Mostly Cloudy,6,7m SSW,2014
Packers,Dolphins,88f Mostly Cloudy,6,12m E,2014
Lions,Vikings,61f Partly Cloudy and Breezy,6,20m SSE,2014
Broncos,Jets,64f Fair,6,3m NW,2014
Ravens,Buccaneers,87f Mostly Cloudy,6,4m ESE,2014
Chargers,Raiders,86f A Few Clouds,6,7m NW,2014
Bears,Falcons,DOME,6,7m NE,2014
Redskins,Cardinals,DOME,6,14m S,2014
Cowboys,Seahawks,66f Overcast,6,5m SSW,2014
Giants,Eagles,57f Mostly Cloudy,6,5m SSE,2014
Jets,Patriots,63f Overcast,7,5m S,2014
Vikings,Bills,45f Mostly Cloudy,7,8m WSW,2014
Dolphins,Bears,55f Mostly Cloudy,7,12m SW,2014
Saints,Lions,DOME,7,9m WSW,2014
Panthers,Packers,53f A Few Clouds,7,11m SSW,2014
Bengals,Colts,DOME,7,9m SW,2014
Seahawks,Rams,DOME,7,4m N,2014
Titans,Redskins,57f Fair,7,16m W,2014
Browns,Jaguars,74f Mostly Cloudy,7,10m NE,2014
Falcons,Ravens,57f Mostly Clear,7,0m N,2014
Chiefs,Chargers,71f NA,7,6m WNW,2014
Giants,Cowboys,75f Clear,7,0m N,2014
Cardinals,Raiders,70f A Few Clouds,7,14m W,2014
49ers,Broncos,63f A Few Clouds,7,0m N,2014
Chargers,Broncos,61f Partly Cloudy,8,3m SW,2014
Lions,Falcons,58f Cloudy,8,,2014
Ravens,Bengals,67f Fair,8,5m WSW,2014
Texans,Titans,79f Fair,8,5m E,2014
Rams,Chiefs,85f Fair,8,13m S,2014
Bears,Patriots,57f Mostly Cloudy,8,14m WNW,2014
Bills,Jets,61f Overcast and Breezy,8,19m NW,2014
Vikings,Buccaneers,78f Fair,8,7m WSW,2014
Seahawks,Panthers,81f Fair,8,11m W,2014
Dolphins,Jaguars,81f Fair,8,0m N,2014
Eagles,Cardinals,DOME,8,6m WSW,2014
Raiders,Browns,54f Fair,8,9m W,2014
Colts,Steelers,56f Fair,8,7m W,2014
Packers,Saints,DOME,8,6m S,2014
Saints,Panthers,53f Fair,9,3m NNE,2014
Jaguars,Bengals,46f Fair,9,4m SSE,2014
Buccaneers,Browns,0f Mostly Cloudy,9,10m W,2014
Cardinals,Cowboys,64f Clear,9,0m N,2014
Jets,Chiefs,64f Fair and Breezy,9,20m S,2014
Chargers,Dolphins,69f Fair,9,5m N,2014
Redskins,Vikings,54f Partly Cloudy,9,12m SSE,2014
Eagles,Texans,71f Mostly Cloudy,9,8m SSE,2014
Rams,49ers,64f A Few Clouds,9,10m NW,2014
Broncos,Patriots,41f Fair and Breezy,9,18m NW,2014
Raiders,Seahawks,56f Lt Rain,9,7m SSE,2014
Ravens,Steelers,37f Fair,9,5m WNW,2014
Browns,Bengals,43f Overcast,10,0m N,2014
Chiefs,Bills,41f  Light Rain,10,11m SSW,2014
Dolphins,Lions,DOME,10,15m SW,2014
49ers,Saints,DOME,10,8m NE,2014
Steelers,Jets,57f Fair,10,9m SW,2014
Falcons,Buccaneers,66f Overcast,10,5m NE,2014
Cowboys,Jaguars,39/53f Chance Showers,10,,2014
Titans,Ravens,57f Sunny,10,0m N,2014
Broncos,Raiders,69f A Few Clouds,10,7m WNW,2014
Rams,Cardinals,DOME,10,6m E,2014
Giants,Seahawks,56f Lt Rain,10,0m N,2014
Bears,Packers,32f Fair,10,6m NNW,2014
Bills,Dolphins,71f Fair,11,0m N,2014
Vikings,Bears,32f  Light Snow,11,10m SSW,2014
Texans,Browns,34f Overcast,11,7m SSW,2014
Eagles,Packers,27f Overcast,11,9m SSW,2014
Seahawks,Chiefs,21f Fair,11,10m W,2014
Broncos,Rams,DOME,11,6m W,2014
Bengals,Saints,DOME,11,19m SSE,2014
49ers,Giants,43f Overcast,11,4m SSW,2014
Buccaneers,Redskins,46f Overcast,11,7m S,2014
Falcons,Panthers,52f Overcast,11,3m ESE,2014
Raiders,Chargers,71f NA,11,7m WNW,2014
Lions,Cardinals,DOME,11,12m N,2014
Patriots,Colts,DOME,11,4m WNW,2014
Chiefs,Raiders,"55f Mod Rain, Fog",12,11m ENE,2014
Browns,Falcons,DOME,12,10m ENE,2014
Buccaneers,Bears,53f  Light Rain,12,10m S,2014
Jaguars,Colts,DOME,12,9m SE,2014
Packers,Vikings,46f  Fog/Mist,12,6m NW,2014
Lions,Patriots,61f Fair,12,6m WSW,2014
Titans,Eagles,53f Mostly Cloudy,12,6m S,2014
Bengals,Texans,76f Fair,12,14m SW,2014
Rams,Chargers,72f NA,12,3m S,2014
Cardinals,Seahawks,57f Partly Cloudy,12,6m S,2014
Dolphins,Broncos,36f   Showers in Vicinity,12,7m NNE,2014
Redskins,49ers,63f Mostly Cloudy,12,4m WNW,2014
Cowboys,Giants,48f Fair,12,0m N,2014
Jets,Bills,DOME,12,21m WSW,2014
Bears,Lions,DOME,13,9m WNW,2014
Eagles,Cowboys,57f Clear,13,0m N,2014
Seahawks,49ers,58f A Few Clouds,13,0m N,2014
Browns,Bills,57f Overcast,13,11m SSW,2014
Redskins,Colts,DOME,13,17m SSW,2014
Raiders,Rams,DOME,13,12m WSW,2014
Panthers,Vikings,15f Overcast,13,15m WNW,2014
Saints,Steelers,61f Overcast,13,12m SW,2014
Bengals,Buccaneers,76f Mostly Cloudy,13,7m E,2014
Giants,Jaguars,72f Partly Cloudy,13,7m SSE,2014
Chargers,Ravens,58f Mostly Sunny,13,0m N,2014
Titans,Texans,78f Partly Cloudy,13,10m S,2014
Cardinals,Falcons,DOME,13,3m SSE,2014
Patriots,Packers,23f Fair,13,7m NW,2014
Broncos,Chiefs,25f Fair,13,12m N,2014
Cowboys,Bears,34f Overcast,14,6m SE,2014
Steelers,Bengals,42f Clear,14,3m NE,2014
Colts,Browns,38f Mostly Cloudy,14,11m NE,2014
Buccaneers,Lions,DOME,14,5m E,2014
Giants,Titans,47f Mostly Cloudy,14,7m NE,2014
Ravens,Dolphins,77f Partly Cloudy,14,12m NNW,2014
Jets,Vikings,34f Mostly Cloudy,14,11m SSE,2014
Panthers,Saints,DOME,14,5m N,2014
Rams,Redskins,46f Clear,14,10m N,2014
Texans,Jaguars,58f Overcast,14,9m N,2014
Bills,Broncos,55f Clear,14,3m NW,2014
Chiefs,Cardinals,DOME,14,1m NW,2014
49ers,Raiders,61f Overcast,14,2m SSW,2014
Seahawks,Eagles,39f Clear,14,6m N,2014
Patriots,Chargers,64f Mostly Cloudy,14,2m N,2014
Cardinals,Rams,DOME,15,1m SSE,2014
Steelers,Falcons,DOME,15,8m WNW,2014
Packers,Bills,34f Overcast,15,9m W,2014
Bengals,Browns,45f Overcast,15,5m W,2014
Texans,Colts,DOME,15,4m S,2014
Raiders,Chiefs,60f Overcast,15,10m S,2014
Dolphins,Patriots,43f Clear,15,5m WNW,2014
Redskins,Giants,43f Overcast,15,7m NW,2014
Buccaneers,Panthers,58f Clear,15,2m NNW,2014
Jaguars,Ravens,49f Mostly Cloudy,15,7m NW,2014
Jets,Titans,49f Mostly Cloudy,15,1m E,2014
Broncos,Chargers,62f Partly Cloudy,15,5m WNW,2014
49ers,Seahawks,49f Clear,15,2m ENE,2014
Vikings,Lions,DOME,15,1m W,2014
Cowboys,Eagles,42f Mostly Cloudy,15,6m NNW,2014
Titans,Jaguars,54f Partly Cloudy,16,3m W,2014
Eagles,Redskins,35f Mostly Cloudy,16,1m W,2014
Chargers,49ers,58f Overcast,16,1m SW,2014
Lions,Bears,36f Mostly Cloudy,16,7m S,2014
Vikings,Dolphins,78f Mostly Cloudy,16,7m SE,2014
Falcons,Saints,DOME,16,2m NE,2014
Patriots,Jets,35f Mostly Cloudy,16,4m NW,2014
Chiefs,Steelers,34f Mostly Cloudy,16,0m NE,2014
Packers,Buccaneers,76f Mostly Cloudy,16,4m S,2014
Browns,Panthers,50f Mostly Cloudy,16,4m NE,2014
Ravens,Texans,58f Mostly Cloudy,16,2m E,2014
Giants,Rams,DOME,16,7m SE,2014
Colts,Cowboys,51f Overcast,16,9m S,2014
Bills,Raiders,62f Mostly Cloudy,16,6m WNW,2014
Seahawks,Cardinals,DOME,16,1m W,2014
Colts,Titans,41f Overcast,17,5m NW,2014
Chargers,Chiefs,37f Clear,17,5m SW,2014
Jets,Dolphins,80f Partly Cloudy,17,7m SE,2014
Bears,Vikings,22f Mostly Cloudy,17,4m N,2014
Bills,Patriots,49f Overcast,17,8m W,2014
Eagles,Giants,51f Mostly Cloudy,17,6m WNW,2014
Saints,Buccaneers,77f Partly Cloudy,17,7m SSW,2014
Cowboys,Redskins,57f Mostly Cloudy,17,4m WNW,2014
Browns,Ravens,56f Overcast,17,3m WNW,2014
Jaguars,Texans,43f Drizzle,17,8m NW,2014
Panthers,Falcons,DOME,17,2m W,2014
Lions,Packers,25f Overcast,17,6m NW,2014
Raiders,Broncos,33f Partly Cloudy,17,0m NW,2014
Cardinals,49ers,56f Clear,17,5m NW,2014
Rams,Seahawks,43f Mostly Cloudy,17,1m SSW,2014
Steelers,Patriots,64f Light Rain,1,9m NE,2015
Packers,Bears,68f Partly Cloudy,1,4m WNW,2015
Chiefs,Texans,83f Clear,1,8m E,2015
Browns,Jets,76f Partly Cloudy,1,7m WSW,2015
Colts,Bills,53f Mostly Cloudy,1,7m WSW,2015
Dolphins,Redskins,71f Partly Cloudy,1,11m W,2015
Panthers,Jaguars,81f Partly Cloudy,1,1m WSW,2015
Seahawks,Rams,DOME,1,3m SSW,2015
Saints,Cardinals,DOME,1,4m WSW,2015
Lions,Chargers,82f Clear,1,8m W,2015
Titans,Buccaneers,81f Mostly Cloudy,1,6m NNW,2015
Bengals,Raiders,75f Partly Cloudy,1,9m W,2015
Ravens,Broncos,86f Partly Cloudy,1,5m NNW,2015
Giants,Cowboys,78f Clear,1,9m SSE,2015
Eagles,Falcons,DOME,1,2m E,2015
Broncos,Chiefs,80f Mostly Cloudy,2,8m SSW,2015
Texans,Panthers,88f Partly Cloudy,2,2m N,2015
49ers,Steelers,69f Clear,2,2m NW,2015
Buccaneers,Saints,DOME,2,2m N,2015
Lions,Vikings,70f Partly Cloudy,2,12m S,2015
Cardinals,Bears,69f Partly Cloudy,2,3m E,2015
Patriots,Bills,62f Clear,2,4m N,2015
Chargers,Bengals,73f Partly Cloudy,2,6m NE,2015
Titans,Browns,66f Partly Cloudy,2,11m NNE,2015
Falcons,Giants,77f Clear,2,7m N,2015
Rams,Redskins,75f Partly Cloudy,2,6m N,2015
Dolphins,Jaguars,83f Clear,2,5m E,2015
Ravens,Raiders,89f Dry and Partly Cloudy,2,7m NW,2015
Cowboys,Eagles,74f Clear,2,7m N,2015
Seahawks,Packers,54f Clear,2,6m SSE,2015
Redskins,Giants,66f Clear,3,2m ENE,2015
Falcons,Cowboys,89f Clear,3,4m ENE,2015
Colts,Titans,77f Mostly Cloudy,3,4m SE,2015
Raiders,Browns,75f Mostly Cloudy,3,10m SSE,2015
Bengals,Ravens,73f Mostly Cloudy,3,8m ENE,2015
Jaguars,Patriots,70f Clear,3,3m SSE,2015
Saints,Panthers,67f Overcast,3,8m NNE,2015
Eagles,Jets,70f Partly Cloudy,3,5m ESE,2015
Buccaneers,Texans,75f Mostly Cloudy,3,8m NE,2015
Chargers,Vikings,80f Clear,3,13m SSW,2015
Steelers,Rams,DOME,3,4m SE,2015
49ers,Cardinals,DOME,3,3m WSW,2015
Bills,Dolphins,80f Mostly Cloudy,3,0m SW,2015
Bears,Seahawks,62f Clear,3,7m NNW,2015
Broncos,Lions,DOME,3,7m S,2015
Ravens,Steelers,54f Mostly Cloudy,4,7m NE,2015
Jets,Dolphins,62f Partly Cloudy,4,6m SSE,2015
Jaguars,Colts,DOME,4,8m NE,2015
Giants,Bills,60f Mostly Cloudy,4,4m E,2015
Panthers,Buccaneers,75f Partly Cloudy,4,7m WNW,2015
Eagles,Redskins,59f Overcast,4,13m NNE,2015
Raiders,Bears,56f Overcast,4,8m NE,2015
Texans,Falcons,DOME,4,9m NE,2015
Chiefs,Bengals,73f Clear,4,8m ENE,2015
Browns,Chargers,68f Mostly Cloudy,4,7m WSW,2015
Packers,49ers,76f Clear,4,6m NW,2015
Rams,Cardinals,DOME,4,14m S,2015
Vikings,Broncos,60f Mostly Cloudy,4,5m NE,2015
Cowboys,Saints,DOME,4,10m N,2015
Colts,Texans,76f Mostly Cloudy,5,2m SE,2015
Bears,Chiefs,80f Clear,5,11m SSW,2015
Seahawks,Bengals,72f Clear,5,7m SSW,2015
Redskins,Falcons,DOME,5,2m NNE,2015
Jaguars,Buccaneers,83f Clear,5,9m NW,2015
Saints,Eagles,67f Clear,5,4m WSW,2015
Browns,Ravens,68f Clear,5,0m S,2015
Rams,Packers,73f Clear,5,15m SW,2015
Bills,Titans,72f Partly Cloudy,5,2m SSW,2015
Cardinals,Lions,DOME,5,15m SSW,2015
Patriots,Cowboys,92f Clear,5,11m S,2015
Broncos,Raiders,76f Clear,5,8m WNW,2015
49ers,Giants,57f Clear,5,3m SW,2015
Falcons,Saints,DOME,6,2m SSE,2015
Redskins,Jets,48f Mostly Cloudy,6,10m NW,2015
Cardinals,Steelers,42f Mostly Cloudy,6,8m W,2015
Chiefs,Vikings,62f Clear,6,15m SSE,2015
Bengals,Bills,37f Mostly Cloudy,6,2m WNW,2015
Bears,Lions,DOME,6,8m NW,2015
Broncos,Browns,46f Mostly Cloudy,6,11m NW,2015
Texans,Jaguars,70f Mostly Cloudy,6,13m NNE,2015
Dolphins,Titans,60f Clear,6,6m NE,2015
Panthers,Seahawks,59f Overcast,6,4m S,2015
Chargers,Packers,49f Clear,6,8m SSE,2015
Ravens,49ers,68f Partly Cloudy,6,10m WNW,2015
Patriots,Colts,DOME,6,2m SSE,2015
Seahawks,49ers,66f Clear,7,3m NW,2015
Bills,Jaguars,51f Clear,7,3m SSE,2015
Buccaneers,Redskins,70f Mostly Cloudy,7,8m NW,2015
Falcons,Titans,61f Overcast,7,8m NNE,2015
Saints,Colts,DOME,7,7m NE,2015
Vikings,Lions,DOME,7,5m NW,2015
Steelers,Chiefs,64f Clear,7,6m NE,2015
Browns,Rams,DOME,7,7m NE,2015
Texans,Dolphins,82f Mostly Cloudy,7,11m E,2015
